dataset,pair_id,group_id,piece_a_id,piece_b_id,method,duration_s,memory_mb,mae,median_ae,ar_50ms,ar_100ms,ar_200ms,runtime_s,n_gt_points,deep_decode,band_radius_frames,pool_size,deep_distance,fusion_deep_weight,fusion_onset_weight,fusion_note_weight,fusion_dlnco_weight,fusion_chroma_weight,refine_window_sec,score_refine_radius_sec
swd,D911-02_HU33_SC06,D911-02,Schubert_D911-02_HU33,Schubert_D911-02_SC06,deepalign,101.1461224489796,,0.16709707775052468,0.03569160987188624,0.6037735849056604,0.7358490566037735,0.8113207547169812,2.51513879999402,53,unconstrained,,1.0,sqeuclidean,1.0,1.0,0.75,0.5,0.25,8.0,0.5
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,deepalign,259.59909297052155,,0.13422326302420393,0.0384807255918318,0.5737704918032787,0.7540983606557377,0.819672131147541,16.010296899999958,61,unconstrained,,1.0,sqeuclidean,1.0,1.0,0.75,0.5,0.25,8.0,0.5
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,deepalign,190.56326530612245,,0.14832229771606745,0.0479591833265296,0.52,0.7733333333333333,0.8533333333333334,9.663938600002439,75,unconstrained,,1.0,sqeuclidean,1.0,1.0,0.75,0.5,0.25,8.0,0.5
swd,D911-17_HU33_SC06,D911-17,Schubert_D911-17_HU33,Schubert_D911-17_SC06,deepalign,197.74113378684808,,0.1928578231252173,0.04200680269956081,0.58,0.8,0.9,10.482577299990226,50,unconstrained,,1.0,sqeuclidean,1.0,1.0,0.75,0.5,0.25,8.0,0.5
swd,D911-18_HU33_SC06,D911-18,Schubert_D911-18_HU33,Schubert_D911-18_SC06,deepalign,47.64734693877551,,0.03351927438628145,0.014886621327663718,0.9,0.95,0.95,4.227659700001823,20,unconstrained,,1.0,sqeuclidean,1.0,1.0,0.75,0.5,0.25,8.0,0.5
swd,D911-20_HU33_SC06,D911-20,Schubert_D911-20_HU33,Schubert_D911-20_SC06,deepalign,242.7414058956916,,0.10907896489902455,0.032970521165532674,0.6941176470588235,0.8588235294117647,0.8941176470588236,15.41341100000136,85,unconstrained,,1.0,sqeuclidean,1.0,1.0,0.75,0.5,0.25,8.0,0.5
swd,D911-22_HU33_SC06,D911-22,Schubert_D911-22_HU33,Schubert_D911-22_SC06,deepalign,79.6908843537415,,0.06096895168569644,0.02024943312697758,0.8615384615384616,0.8923076923076924,0.9384615384615385,11.616212399996584,65,unconstrained,,1.0,sqeuclidean,1.0,1.0,0.75,0.5,0.25,8.0,0.5
swd,D911-24_HU33_SC06,D911-24,Schubert_D911-24_HU33,Schubert_D911-24_SC06,deepalign,207.80408163265307,,0.05031874038918236,0.017346938785713917,0.8064516129032258,0.9032258064516129,0.9193548387096774,10.48673360000248,62,unconstrained,,1.0,sqeuclidean,1.0,1.0,0.75,0.5,0.25,8.0,0.5
