pair_id,group_id,piece_a_id,piece_b_id,deep_decode_unconstrained,runtime_s_unconstrained,mae_ms_unconstrained,median_ae_ms_unconstrained,ar50_pct_unconstrained,ar100_pct_unconstrained,ar200_pct_unconstrained,band_radius_frames_unconstrained,pool_size_unconstrained,fusion_deep_weight_unconstrained,fusion_onset_weight_unconstrained,fusion_note_weight_unconstrained,fusion_dlnco_weight_unconstrained,fusion_chroma_weight_unconstrained,refine_window_sec_unconstrained,score_refine_radius_sec_unconstrained,deep_decode_coarse_to_fine,runtime_s_coarse_to_fine,mae_ms_coarse_to_fine,median_ae_ms_coarse_to_fine,ar50_pct_coarse_to_fine,ar100_pct_coarse_to_fine,ar200_pct_coarse_to_fine,band_radius_frames_coarse_to_fine,pool_size_coarse_to_fine,fusion_deep_weight_coarse_to_fine,fusion_onset_weight_coarse_to_fine,fusion_note_weight_coarse_to_fine,fusion_dlnco_weight_coarse_to_fine,fusion_chroma_weight_coarse_to_fine,refine_window_sec_coarse_to_fine,score_refine_radius_sec_coarse_to_fine,coarse_to_fine_radius_sec_coarse_to_fine,oracle_choice,oracle_mae_ms,oracle_gain_ms,oracle_ar50_pct
D911-02_HU33_SC06,D911-02,Schubert_D911-02_HU33,Schubert_D911-02_SC06,unconstrained,2.51513879999402,167.0970777505246,35.6916098718862,60.37735849056604,73.58490566037736,81.13207547169812,,1.0,1.0,1.0,0.75,0.5,0.25,8.0,0.5,deepalign_coarse_to_fine,37.36345769999025,60.6556708723962,29.1156463265345,67.9245283018868,88.67924528301887,92.45283018867923,,1.0,1.0,0.5,0.75,1.0,1.0,8.0,0.5,0.5,coarse_to_fine,60.6556708723962,106.44140687812839,67.9245283018868
D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,unconstrained,16.010296899999958,134.2232630242039,38.4807255918318,57.377049180327866,75.40983606557377,81.9672131147541,,1.0,1.0,1.0,0.75,0.5,0.25,8.0,0.5,deepalign_coarse_to_fine,362.8621889999922,89.5974125885906,32.5170070068168,65.57377049180327,85.24590163934425,91.8032786885246,,1.0,1.0,0.5,0.75,1.0,1.0,8.0,0.5,0.5,coarse_to_fine,89.5974125885906,44.6258504356133,65.57377049180327
D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,unconstrained,9.66393860000244,148.3222977160674,47.9591833265296,52.0,77.33333333333333,85.33333333333334,,1.0,1.0,1.0,0.75,0.5,0.25,8.0,0.5,deepalign_coarse_to_fine,113.44709459999284,156.7850340214652,35.3287983968186,57.333333333333336,72.0,85.33333333333334,,1.0,1.0,0.5,0.75,1.0,1.0,8.0,0.5,0.5,unconstrained,148.3222977160674,0.0,52.0
D911-17_HU33_SC06,D911-17,Schubert_D911-17_HU33,Schubert_D911-17_SC06,unconstrained,10.482577299990226,192.8578231252173,42.0068026995608,57.99999999999999,80.0,90.0,,1.0,1.0,1.0,0.75,0.5,0.25,8.0,0.5,deepalign_coarse_to_fine,137.30977339998935,237.4746030923339,33.560090349761,54.0,74.0,82.0,,1.0,1.0,0.5,0.75,1.0,1.0,8.0,0.5,0.5,unconstrained,192.8578231252173,0.0,57.99999999999999
D911-18_HU33_SC06,D911-18,Schubert_D911-18_HU33,Schubert_D911-18_SC06,unconstrained,4.227659700001823,33.519274386281396,14.886621327663699,90.0,95.0,95.0,,1.0,1.0,1.0,0.75,0.5,0.25,8.0,0.5,deepalign_coarse_to_fine,11.78794399999606,100.8072562514741,23.4580501264165,65.0,70.0,80.0,,1.0,1.0,0.5,0.75,1.0,1.0,8.0,0.5,0.5,unconstrained,33.519274386281396,0.0,90.0
D911-20_HU33_SC06,D911-20,Schubert_D911-20_HU33,Schubert_D911-20_SC06,unconstrained,15.41341100000136,109.0789648990245,32.970521165532595,69.41176470588235,85.88235294117646,89.41176470588236,,1.0,1.0,1.0,0.75,0.5,0.25,8.0,0.5,deepalign_coarse_to_fine,315.33098859999154,97.9086301713246,28.798186549892,76.47058823529412,87.05882352941177,91.76470588235294,,1.0,1.0,0.5,0.75,1.0,1.0,8.0,0.5,0.5,coarse_to_fine,97.9086301713246,11.170334727699895,76.47058823529412
D911-22_HU33_SC06,D911-22,Schubert_D911-22_HU33,Schubert_D911-22_SC06,unconstrained,11.616212399996584,60.9689516856964,20.2494331269775,86.15384615384616,89.23076923076924,93.84615384615384,,1.0,1.0,1.0,0.75,0.5,0.25,8.0,0.5,deepalign_coarse_to_fine,24.85501570001361,115.2175126975403,26.7800452494384,67.6923076923077,69.23076923076923,75.38461538461539,,1.0,1.0,0.5,0.75,1.0,1.0,8.0,0.5,0.5,unconstrained,60.9689516856964,0.0,86.15384615384616
D911-24_HU33_SC06,D911-24,Schubert_D911-24_HU33,Schubert_D911-24_SC06,unconstrained,10.48673360000248,50.318740389182295,17.3469387857139,80.64516129032258,90.32258064516128,91.93548387096774,,1.0,1.0,1.0,0.75,0.5,0.25,8.0,0.5,deepalign_coarse_to_fine,133.80629269999918,76.8433181239282,17.7721089563505,85.48387096774194,95.16129032258064,95.16129032258064,,1.0,1.0,0.5,0.75,1.0,1.0,8.0,0.5,0.5,unconstrained,50.318740389182295,0.0,80.64516129032258
