dataset,pair_id,group_id,piece_a_id,piece_b_id,method,duration_s,memory_mb,mae,median_ae,ar_50ms,ar_100ms,ar_200ms,runtime_s,n_gt_points,deep_decode,band_radius_frames,pool_size,deep_distance,fusion_deep_weight,fusion_onset_weight,fusion_note_weight,fusion_dlnco_weight,fusion_chroma_weight,refine_window_sec,score_refine_radius_sec
swd,D911-02_HU33_SC06,D911-02,Schubert_D911-02_HU33,Schubert_D911-02_SC06,deepalign,101.1461224489796,,0.16602425865902967,0.04090702968252913,0.5471698113207547,0.7169811320754716,0.8679245283018868,2.5511188999953447,53,unconstrained,,1.0,sqeuclidean,1.0,1.0,0.75,0.5,0.25,8.0,0.5
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,deepalign,259.59909297052155,,0.14977714579342916,0.0429251706916034,0.5245901639344263,0.7704918032786885,0.7868852459016393,16.148753599991323,61,unconstrained,,1.0,sqeuclidean,1.0,1.0,0.75,0.5,0.25,8.0,0.5
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,deepalign,190.56326530612245,,0.1827572183701268,0.056734693437642036,0.48,0.72,0.8266666666666667,9.31845570000587,75,unconstrained,,1.0,sqeuclidean,1.0,1.0,0.75,0.5,0.25,8.0,0.5
swd,D911-17_HU33_SC06,D911-17,Schubert_D911-17_HU33,Schubert_D911-17_SC06,deepalign,197.74113378684808,,0.21072562356920682,0.043083900234694994,0.56,0.76,0.84,9.827569200002472,50,unconstrained,,1.0,sqeuclidean,1.0,1.0,0.75,0.5,0.25,8.0,0.5
swd,D911-18_HU33_SC06,D911-18,Schubert_D911-18_HU33,Schubert_D911-18_SC06,deepalign,47.64734693877551,,0.04181972794773276,0.021541949877548205,0.9,0.9,0.95,3.8786400000099093,20,unconstrained,,1.0,sqeuclidean,1.0,1.0,0.75,0.5,0.25,8.0,0.5
swd,D911-20_HU33_SC06,D911-20,Schubert_D911-20_HU33,Schubert_D911-20_SC06,deepalign,242.7414058956916,,0.10395091371879325,0.0330838990261384,0.6823529411764706,0.8235294117647058,0.8705882352941177,15.173500399992918,85,unconstrained,,1.0,sqeuclidean,1.0,1.0,0.75,0.5,0.25,8.0,0.5
swd,D911-22_HU33_SC06,D911-22,Schubert_D911-22_HU33,Schubert_D911-22_SC06,deepalign,79.6908843537415,,0.06078492935696909,0.02024943312697758,0.8153846153846154,0.9076923076923077,0.9538461538461539,10.669911799996044,65,unconstrained,,1.0,sqeuclidean,1.0,1.0,0.75,0.5,0.25,8.0,0.5
swd,D911-24_HU33_SC06,D911-24,Schubert_D911-24_HU33,Schubert_D911-24_SC06,deepalign,207.80408163265307,,0.0892557237616853,0.016643990784587004,0.8064516129032258,0.8709677419354839,0.9193548387096774,10.129353500000434,62,unconstrained,,1.0,sqeuclidean,1.0,1.0,0.75,0.5,0.25,8.0,0.5
